index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-74.94
0,2022-07-23-17:53:39,-71,-93,100,100,-81,-89,100,100,100,100,100,-74,-83,-94,100,-91,100,100,100,100,100,100,100,-82,-87,47,
1,2022-07-23-17:53:44,-77,-81,100,100,-86,-75,100,100,100,100,100,-69,-67,-96,100,-91,100,100,100,100,100,100,100,-89,-72,47,
2,2022-07-23-17:53:49,-73,100,100,100,-83,-77,100,100,100,100,100,-73,-67,100,100,100,100,100,100,100,100,100,100,-84,-73,47,
3,2022-07-23-17:53:54,-67,-80,100,100,-85,-81,100,100,100,100,100,-77,-74,100,100,-88,100,100,100,100,100,100,100,-95,-73,47,
4,2022-07-23-17:53:59,-78,-89,100,100,-84,-82,100,100,100,100,100,-66,-77,100,100,-98,100,100,100,100,100,100,100,-84,-74,47,
5,2022-07-23-17:54:04,-78,-80,100,100,-82,-85,100,100,100,100,100,-76,-66,100,100,-86,100,100,100,100,100,100,100,-84,-91,47,
6,2022-07-23-17:54:09,-79,-86,100,100,-81,-78,100,100,100,100,100,-78,-67,100,100,-90,100,100,100,100,100,100,100,-84,-72,47,
7,2022-07-23-17:54:14,-77,-80,100,100,-84,-82,100,100,100,100,100,-77,-66,100,100,100,100,100,100,100,100,100,100,-84,-74,47,
8,2022-07-23-17:54:19,-66,-89,100,100,-86,-75,100,100,100,100,100,-77,-66,100,100,100,100,100,100,100,100,100,100,-92,-85,47,
9,2022-07-23-17:54:24,-78,-89,100,100,-86,-75,100,100,100,100,100,-78,-67,100,100,-87,100,100,100,100,100,100,100,100,-85,47,
10,2022-07-23-17:54:29,-78,-89,100,100,-84,-74,100,100,100,100,100,-78,100,100,100,-87,100,100,100,100,100,100,100,-84,-73,47,
11,2022-07-23-17:54:34,-76,-89,100,100,-82,-82,100,100,100,100,100,-77,-67,100,100,-86,100,100,100,100,100,100,100,-84,-73,47,
12,2022-07-23-17:54:39,-66,100,100,100,-82,-75,100,100,100,100,100,-70,-66,-98,100,-87,100,100,100,100,100,100,100,-93,-85,47,
13,2022-07-23-17:54:44,-66,-80,100,100,-84,-78,100,100,100,100,100,-70,-75,100,100,100,100,100,100,100,100,100,100,-84,-73,47,
14,2022-07-23-17:54:49,-66,-80,100,100,-82,-82,100,100,100,100,100,-70,-75,-97,100,-87,100,100,100,100,100,100,100,-93,-85,47,
15,2022-07-23-17:54:54,-78,-80,100,100,-84,-75,100,100,100,100,100,-77,-66,100,100,-87,100,100,100,100,100,100,100,-94,-73,47,
16,2022-07-23-17:54:59,-78,-89,100,100,-82,-74,100,100,100,100,100,-77,-67,100,100,-91,100,100,100,100,100,100,100,-84,-86,47,
17,2022-07-23-17:55:04,-76,-80,100,100,-84,-82,100,100,100,100,100,-70,-67,100,100,-86,100,100,100,100,100,100,100,-84,-73,47,
18,2022-07-23-17:55:09,-78,-89,100,100,-82,-74,100,100,100,100,100,-70,-67,100,100,-86,100,100,100,100,100,100,100,100,-73,47,
19,2022-07-23-17:55:14,-76,-89,100,100,-82,-75,100,100,100,100,100,-70,-66,100,100,-87,100,100,100,100,100,100,100,-93,-73,47,
20,2022-07-23-17:55:19,-76,-89,100,100,-83,-74,100,100,100,100,100,-77,-66,100,100,100,100,100,100,100,100,100,100,-84,-73,47,
21,2022-07-23-17:55:24,-79,-77,100,100,-83,-74,100,100,100,100,100,-70,-67,100,100,-90,100,100,100,100,100,100,100,-82,-85,47,
22,2022-07-23-17:55:29,-79,-81,100,100,-85,-82,100,100,100,100,100,-77,-67,100,100,100,100,100,100,100,100,100,100,-88,-72,47,
23,2022-07-23-17:55:34,-79,-80,100,100,-82,-74,100,100,100,100,100,-70,-75,-97,100,100,100,100,100,100,100,100,100,100,-75,47,
24,2022-07-23-17:55:39,-79,-89,100,100,-86,-82,100,100,100,100,100,-70,-67,100,100,-87,100,100,100,100,100,100,100,-93,100,47,
25,2022-07-23-17:55:44,-79,-80,100,100,-86,-82,100,100,100,100,100,-77,-67,100,100,-99,100,100,100,100,100,100,100,-84,-73,47,
26,2022-07-23-17:55:49,-66,-80,100,100,-86,-74,100,100,100,100,100,-70,-66,100,100,-87,100,100,100,100,100,100,100,-84,-73,47,
27,2022-07-23-17:55:54,-66,-89,100,100,-82,-74,100,100,100,100,100,-76,-66,-96,100,-87,100,100,100,100,100,100,100,-94,-85,47,
28,2022-07-23-17:55:59,-79,100,100,100,-86,-78,100,100,100,100,100,-77,-66,-95,100,-87,100,100,100,100,100,100,100,-93,-85,47,
29,2022-07-23-17:56:04,-66,100,100,100,-82,-78,100,100,100,100,100,-77,-66,100,100,-87,100,100,100,100,100,100,100,-85,100,47,
30,2022-07-23-17:56:09,-66,-83,100,100,-85,-77,100,100,100,100,100,-77,-67,100,100,-88,100,100,100,100,100,100,100,-89,-72,47,
31,2022-07-23-17:56:14,-75,-85,100,100,-87,-81,100,100,100,100,100,-70,-74,100,100,-90,100,100,100,100,100,100,100,-85,-73,47,
32,2022-07-23-17:56:19,-77,-89,100,100,100,-78,100,100,100,100,100,-77,-75,100,100,-91,100,100,100,100,100,100,100,100,-73,47,
33,2022-07-23-17:56:24,-66,-80,100,100,-86,-78,100,100,100,100,100,-77,-66,100,100,100,100,100,100,100,100,100,100,-93,-86,47,
34,2022-07-23-17:56:29,-77,-89,100,100,-84,-82,100,100,100,100,100,-77,-75,100,100,100,100,100,100,100,100,100,100,-93,-73,47,
35,2022-07-23-17:56:34,-77,-80,100,100,-82,-82,100,100,100,100,100,-77,-67,100,100,-92,100,100,100,100,100,100,100,-93,-86,47,
36,2022-07-23-17:56:39,-76,-80,100,100,-82,-78,100,100,100,100,100,-78,-67,100,100,-87,100,100,100,100,100,100,100,-84,-73,47,
37,2022-07-23-17:56:44,-77,-89,100,100,-82,-82,100,100,100,100,100,-78,-67,100,100,100,100,100,100,100,100,100,100,-84,-73,47,
38,2022-07-23-17:56:49,-76,-89,100,100,-84,-74,100,100,100,100,100,-77,-75,100,100,-87,100,100,100,100,100,100,100,-93,-73,47,
39,2022-07-23-17:56:54,-79,-89,100,100,-82,-82,100,100,100,100,100,-77,-75,100,100,-87,100,100,100,100,100,100,100,-84,-73,47,
40,2022-07-23-17:56:59,-78,-80,100,100,-84,-74,100,100,100,100,100,-70,-75,100,100,100,100,100,100,100,100,100,100,-84,-86,47,
41,2022-07-23-17:57:04,-66,-80,100,100,-82,-78,100,100,100,100,100,-77,-66,-98,100,-92,100,100,100,100,100,100,100,-84,-73,47,
42,2022-07-23-17:57:09,-77,-80,100,100,-86,-82,100,100,100,100,100,-70,-75,-97,100,100,100,100,100,100,100,100,100,-93,-86,47,
43,2022-07-23-17:57:14,-79,-79,100,100,-86,-82,100,100,100,100,100,-77,-67,-98,100,100,100,100,100,100,100,100,100,-93,-73,47,
44,2022-07-23-17:57:19,-79,-81,100,100,-82,-82,100,100,100,100,100,-70,-66,100,100,-87,100,100,100,100,100,100,100,-84,-86,47,
45,2022-07-23-17:57:24,-78,-89,100,100,-86,-82,100,100,100,100,100,-70,-67,100,100,-87,100,100,100,100,100,100,100,-84,-86,47,
46,2022-07-23-17:57:29,-78,-80,100,100,-82,-78,100,100,100,100,100,-70,-67,-96,100,-92,100,100,100,100,100,100,100,100,-73,47,
47,2022-07-23-17:57:34,-78,-81,100,100,-82,-78,100,100,100,100,100,-77,-67,100,100,-90,100,100,100,100,100,100,100,-93,-88,47,
48,2022-07-23-17:57:39,-66,-78,100,100,-81,-81,100,100,100,100,100,-78,-67,100,100,-89,100,100,100,100,100,100,100,-90,-72,47,
49,2022-07-23-17:57:44,-76,-80,100,100,-81,-81,100,100,100,100,100,-77,-67,-98,100,100,100,100,100,100,100,100,100,-89,-72,47,
50,2022-07-23-17:57:49,-76,-90,100,100,-86,-74,100,100,100,100,100,-70,-67,-95,100,-87,100,100,100,100,100,100,100,-84,-86,47,
